file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00074_03441.000-03442.050,གི་གནས་རྡོ་རྗེ་གདན་ལ་ཡ།  ,gi gnas rdo rje gdan la ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00074_03441.000-03442.050.wav,STT_TT,3,25,1.050000000000182,wav16k/STT_TT00074_03441.000-03442.050.wav,་གནས་རྡོ་རྗེ་གདན་ལ་ཡ།
STT_TT00074_03442.700-03445.450,ཕྱིན་པ་ཡིན་ཙང་། འདིའི་རྒྱུ་མཚན་ལ་བརྟེན་ནས། སམ་བྷོ་དྷི་ཟེ་ ,phyin pa yin tsang /_'di'i rgyu mtshan la brten nas/_sam b+ho d+hi ze _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00074_03442.700-03445.450.wav,STT_TT,3,58,2.75,wav16k/STT_TT00074_03442.700-03445.450.wav,ཕྱིན་པ་ཡིན་ཙང་། འདིའི་རྒྱུ་མཚན་ལ་བརྟེན་ནས་སམ་བྷོ་དྷི་ཟེ།
STT_TT00074_03447.850-03448.500,ཡོང་གི་ཡོད་རེད།  ,yong gi yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00074_03447.850-03448.500.wav,STT_TT,3,17,0.650000000000091,wav16k/STT_TT00074_03447.850-03448.500.wav,ཡོང་གི་ཡོད་རེད།
STT_TT00074_03450.750-03451.450,གང་ལྟར་ཡང་།  ,gang ltar yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00074_03450.750-03451.450.wav,STT_TT,3,13,0.6999999999998181,wav16k/STT_TT00074_03450.750-03451.450.wav,གང་ལྟར་ཡང་།
STT_TT00074_03451.950-03452.800,རྒྱལ་པོ་མྱ་ངན་མེད།  ,rgyal po mya ngan med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00074_03451.950-03452.800.wav,STT_TT,3,20,0.8500000000003638,wav16k/STT_TT00074_03451.950-03452.800.wav,རྒྱལ་པོ་མྱ་ངན་མེད།
STT_TT00074_03455.300-03456.850,ཕྱིས་སུ། ཆོས་ཀི་གནས་སྐོར་ཕྱིན།  ,phyis su/_chos ki gnas skor phyin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00074_03455.300-03456.850.wav,STT_TT,3,32,1.5499999999997272,wav16k/STT_TT00074_03455.300-03456.850.wav,ཕྱིས་སུ། ཆོས་ཀི་གནས་སྐོར་ཕྱི
STT_TT00074_03457.100-03457.700,འགོ་བཙུགས་ཡོད་རེད།  ,'go btsugs yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00074_03457.100-03457.700.wav,STT_TT,3,20,0.599999999999909,wav16k/STT_TT00074_03457.100-03457.700.wav,འགོ་བཙུགས་ཡོད་པ།
STT_TT00074_03461.400-03462.150,ཆོས་ཀི་གནས་སྐོར་ཅིག ,chos ki gnas skor cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00074_03461.400-03462.150.wav,STT_TT,3,20,0.75,wav16k/STT_TT00074_03461.400-03462.150.wav,ཆོས་ཀི་གནས་སྐོར་ཅིག
STT_TT00074_03463.050-03465.200,ཨེ། སངས་རྒྱས་ཀི་གནས་ས་གལ་ཆེན་པོ་དེ་ཚོ།  ,e/_sangs rgyas ki gnas sa gal chen po de tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00074_03463.050-03465.200.wav,STT_TT,3,40,2.149999999999636,wav16k/STT_TT00074_03463.050-03465.200.wav,ཨེ། སངས་རྒྱས་ཀི་གནས་ས་གལ་ཆེན་པོ་དེ་ཚོ།
STT_TT00074_03473.450-03476.400,དེ་ནས། ཁྲི་ལ་ཕེབས་ནས་ལོ། ཉི་ཤུ་ཐམ་པའི་རྗེས།  ,de nas/_khri la phebs nas lo/_nyi shu tham pa'i rjes/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00074_03473.450-03476.400.wav,STT_TT,3,45,2.950000000000273,wav16k/STT_TT00074_03473.450-03476.400.wav,དེ་ནས། ཁྲི་ལ་ཕེབས་ནས། ལོ། ཉི་ཤུ་ཐམ་པའི་རྗེས།
